_id,name,lat,lang,simple_acc,fatal_acc,danger_points,zone,danger_index
101,Wazirpur Depot,28.6919,77.1534,2,3,6.5,west,2.096774194
102,Welcome,28.6717,77.2777,2,3,6.5,chandnichowk,2.096774194
103,Thimayya Marg,28.585,77.1262,1,3,5.5,new,1.774193548
104,Pragati Maidan Gate Number 5,28.6176,77.2405,1,3,5.5,new,1.774193548
105,Apollo Hospital,28.54,77.2826,1,3,5.5,new,1.774193548
106,Palam Flyover,28.5605,77.1699,1,3,5.5,east,1.774193548
107,Nangal Village,28.6071,77.1147,1,3,5.5,new,1.774193548
108,C - Hexagon,28.6128,77.2346,0,3,4.5,new,1.451612903
109,Bharat Petroleum,28.6346,77.3154,0,3,4.5,east,1.451612903
110,Badarpur Toll Booth,28.49,77.3046,12,2,15,northwest,4.838709677
111,Pushta Road,28.7122,77.2572,10,2,13,east,4.193548387
112,Shahbad Dairy,28.7421,77.1032,10,2,13,northwest,4.193548387
113,Outer Ring Road,28.7218,77.2169,10,2,13,northeast,4.193548387
114,Seelampur,28.664,77.2712,9,2,12,east,3.870967742
115,Anand Vihar ISBT Terminal,28.6459,77.3147,9,2,12,east,3.870967742
116,Moolchand,28.564,77.2342,9,2,12,south,3.870967742
117,Wazirabad Road,28.7014,77.2871,9,2,12,northeast,3.870967742
118,Suraj Kund Crossing,28.5014,77.2903,9,2,12,south,3.870967742
119,5th Pustha Road,28.6962,77.2577,9,2,12,east,3.870967742
120,Swaroop Nagar,28.7604,77.1491,9,2,12,northeast,3.870967742
121,Rajokri,28.5125,77.111,9,2,12,west,3.870967742
122,Haiderpur,28.7225,77.1447,9,2,12,northwest,3.870967742
123,Tis Hazari,28.6646,77.2149,8,2,11,chandnichowk,3.548387097
124,Azadpur Mandi,28.7128,77.1708,8,2,11,chandnichowk,3.548387097
125,Motor Driving Training School,28.6148,77.0824,8,2,11,east,3.548387097
126,Desh Bandhu Gupta Road,28.6443,77.2162,8,2,11,new,3.548387097
127,Raj Ghat,28.6406,77.2495,8,2,11,chandnichowk,3.548387097
128,Jagat Puri,28.6485,77.293,13,1,14.5,east,4.677419355
129,Road Number 57,28.6728,77.128,13,1,14.5,east,4.677419355
130,Dr. Ram Manohar Lohia Hospital,28.6257,77.2027,13,1,14.5,new,4.677419355
131,Vikas Marg,28.6292,77.2753,12,1,13.5,east,4.35483871
132,Okhla Estate Marg,28.5398,77.2788,11,1,12.5,south,4.032258065
133,Ring Road,28.6481,77.2534,11,1,12.5,chandnichowk,4.032258065
134,Okhla More,28.5054,77.2778,10,1,11.5,south,3.709677419
135,Hyatt Hotel,28.5701,77.1859,10,1,11.5,new,3.709677419
136,Shamshan Ghat,28.6547,77.2643,10,1,11.5,east,3.709677419
137,Kewal Park,28.7135,77.178,9,1,10.5,northeast,3.387096774
138,Goyla Dairy,28.5798,77.0215,9,1,10.5,west,3.387096774
139,Bus Stop,28.4374,77.0347,9,1,10.5,new,3.387096774
140,Sector-1 Bypass,28.5996,77.0732,9,1,10.5,west,3.387096774
141,R.K. Puram Sector 1,28.5642,77.1802,11,0,11,new,3.548387097
142,DTC Nand Nagri Depot,28.6985,77.3056,11,0,11,east,3.548387097
143,Loni Road Crossing,28.7015,77.2917,10,0,10,east,3.225806452
144,Gagan Cinema,28.6953,77.315,10,0,10,east,3.225806452
